idx,ch,sisdr_in,snr_in,sir_in,sar_in,sisdr,snr,sir,sar,sisdr_impr,snr_impr,sir_impr,sar_impr
85,0,13.288757,13.286449,13.71666,23.746105,11.375288,3.4402788,38.005554,11.385422,-1.9134693,-9.84617,24.288895,-12.360683
85,1,2.6636333,2.627727,4.0069127,9.867591,14.213132,2.8534272,33.626347,14.2650175,11.549499,0.22570014,29.619434,4.3974266
85,2,-1.5081031,-1.6199278,0.6789317,5.2029943,7.6382217,3.3924053,31.01559,7.66166,9.146325,5.012333,30.336658,2.4586658
86,0,11.215063,11.209618,12.421299,17.609575,7.981452,3.7248275,29.028723,8.021139,-3.233611,-7.48479,16.607424,-9.588436
86,1,2.3712049,2.3589847,4.737707,7.395416,12.549114,2.1125045,28.254135,12.673956,10.17791,-0.24648023,23.516428,5.27854
86,2,2.6770787,2.6715038,8.309765,4.6616974,6.716521,3.3597221,29.018972,6.747592,4.039442,0.68821836,20.709208,2.0858946
87,0,7.234309,7.240799,7.971469,15.942754,5.8403406,3.917211,29.228525,5.8654776,-1.3939686,-3.323588,21.257057,-10.077276
87,1,5.054249,5.0955563,8.5071,8.235898,9.293339,3.2918882,24.757732,9.433032,4.23909,-1.803668,16.250633,1.197134
87,2,5.269341,5.303263,9.775179,7.6041355,7.3457,2.7328718,21.43409,7.549609,2.0763588,-2.5703914,11.658911,-0.05452633
88,0,6.0197496,6.005869,7.449755,12.258067,2.7075763,3.3011339,27.315226,2.730683,-3.3121734,-2.704735,19.86547,-9.527384
88,1,9.072487,9.06502,13.08375,11.478283,15.020241,3.3088713,40.88893,15.031851,5.947754,-5.7561483,27.805182,3.553568
88,2,0.7324264,0.7240348,3.539108,5.5480595,3.4580312,2.7886746,18.723553,3.6470625,2.7256048,2.0646398,15.184444,-1.9009969
89,0,11.681595,11.680571,12.622284,19.018017,7.276204,3.5619702,33.272392,7.2891808,-4.4053907,-8.118601,20.650108,-11.728836
89,1,4.754842,4.7748365,7.8444576,8.347785,10.991845,2.6195316,28.645744,11.07296,6.2370033,-2.155305,20.801287,2.725175
89,2,-1.6761167,-1.5616245,3.7909749,1.290599,0.94952434,2.5415132,19.33244,1.0633605,2.625641,4.103138,15.541465,-0.22723854
90,0,7.2907124,7.2851515,8.349506,14.531832,8.241308,3.479998,28.498877,8.288564,0.95059586,-3.8051534,20.14937,-6.243268
90,1,3.821216,3.7599697,5.196574,10.631337,9.922823,1.9653953,24.745506,10.0828285,6.101607,-1.7945744,19.548931,-0.54850864
90,2,6.9762506,6.9336348,8.238524,13.565479,7.0926547,2.5715065,18.881771,7.446102,0.11640406,-4.3621283,10.643247,-6.119377
91,0,13.42414,13.417612,13.645227,26.650145,10.474095,2.249726,37.366623,10.483784,-2.9500446,-11.167886,23.721395,-16.16636
91,1,2.1200461,2.0735466,3.1989055,10.395443,13.685621,2.6835787,32.841965,13.740939,11.565575,0.6100321,29.643059,3.3454962
91,2,-2.9260697,-3.000212,-0.5443814,4.1105003,7.8596087,2.8207211,32.93736,7.875327,10.785679,5.8209333,33.48174,3.7648268
92,0,9.428954,9.391496,10.456848,16.56546,7.8426366,2.1867397,28.176897,7.88964,-1.5863175,-7.204756,17.720049,-8.67582
92,1,2.1320803,2.1329067,3.3405259,9.931471,12.399615,2.6503446,29.213284,12.496227,10.267535,0.51743793,25.872757,2.5647564
92,2,4.826681,4.810131,8.457287,7.8734345,9.722157,3.4076335,29.290407,9.775506,4.8954754,-1.4024975,20.83312,1.9020715
93,0,12.253416,12.252249,12.564155,24.096003,14.899526,3.52067,51.095238,14.9006,2.6461096,-8.731579,38.531082,-9.195402
93,1,4.6774235,4.649569,5.331681,14.33671,11.080938,1.5775448,25.029991,11.273115,6.403515,-3.0720243,19.69831,-3.0635948
93,2,-3.6234088,-3.7734725,-2.6153603,7.7258396,-7.8761406,0.6550527,44.418636,-7.875958,-4.252732,4.4285254,47.033997,-15.601797
94,0,14.705243,14.697437,15.667332,21.839306,12.10885,3.4346178,35.475334,12.130132,-2.5963936,-11.262819,19.808002,-9.709174
94,1,-9.910062,-9.959422,-9.302814,8.7191305,-3.260223,1.4800212,33.329426,-3.2572544,6.649839,11.439444,42.63224,-11.976385
94,2,2.9839911,2.9699647,4.939514,8.598274,10.227385,2.5579228,32.87117,10.253317,7.2433934,-0.4120419,27.931656,1.6550426
95,0,11.565819,11.577692,12.433767,19.226627,8.7332325,3.581176,27.32231,8.801793,-2.8325863,-7.996516,14.888542,-10.424834
95,1,-11.141619,-11.447422,-10.0025835,5.6442146,-7.750983,0.60538614,35.325893,-7.749495,3.3906355,12.052808,45.328476,-13.393709
95,2,6.949387,6.9563084,12.009327,8.838,10.374342,3.051869,25.795418,10.512229,3.424955,-3.9044394,13.786091,1.6742287
96,0,13.882356,13.88494,18.138037,15.992127,9.331378,3.6129837,20.77423,9.690833,-4.5509777,-10.271956,2.6361923,-6.3012943
96,1,0.3272333,0.3197515,1.9219689,7.605984,-21.372639,-1.3617716,-7.242548,-13.208284,-21.699871,-1.6815231,-9.164516,-20.814268
96,2,2.3809783,2.4014056,5.3709946,6.518686,-0.823085,2.2925646,16.745043,-0.6554501,-3.2040634,-0.10884094,11.374048,-7.174136
97,0,13.609275,13.563536,14.438681,21.361095,8.12533,2.8956654,21.204037,8.377313,-5.483945,-10.6678705,6.765356,-12.983783
97,1,2.2419147,2.04774,3.7470675,9.103749,3.2554448,3.3310952,30.885017,3.26649,1.01353,1.2833552,27.13795,-5.8372593
97,2,-1.5536367,-1.606051,0.8204797,4.8217115,4.955145,2.6467183,26.539267,4.9950294,6.5087814,4.2527695,25.718786,0.17331791
98,0,11.403437,11.4072895,11.522838,27.366234,14.376563,3.298411,39.297367,14.391081,2.9731264,-8.108879,27.774529,-12.975153
98,1,-2.0889494,-2.0063264,-1.8116407,14.007051,-1.1010094,-0.45297894,11.665098,-0.5786703,0.9879401,1.5533475,13.476739,-14.585722
98,2,5.5208974,5.5758004,6.60218,12.947611,1.9277121,2.6805625,28.384228,1.9438387,-3.5931854,-2.895238,21.782047,-11.003772
99,0,1.2917603,1.3596226,2.3989487,9.743633,1.349733,2.4662194,15.658854,1.6302388,0.05797267,1.1065968,13.259905,-8.113395
99,1,9.308422,9.328539,10.240568,16.841776,5.0285397,2.746406,27.963572,5.0576277,-4.2798824,-6.582133,17.723003,-11.784148
99,2,5.9453726,5.940933,6.7523794,14.483978,-8.004691,0.59122777,19.798376,-7.952224,-13.950064,-5.3497057,13.045997,-22.436203
