type,method,filter,band_label,support,mu_t,sigma_t_samples,sigma_omega_rad,uncertainty_product,time_width_95_samples,bandwidth_95_rad,time_entropy_bits,time_effective_samples,freq_entropy_bits,freq_effective_bins,intended_band_energy_pct
local,Fixed-haar,L2_h1,highpass,101.0,50.5,0.5,1.135723616773224,0.567861808386612,2.0,4.28958552572371,1.0,2.0,15.557304959111026,48218.69411322292,81.83251447290336
effective,Fixed-haar,D1,detail_1,101.0,50.5,0.5,1.135723616773224,0.567861808386612,2.0,4.28958552572371,1.0,2.0,15.557304959111026,48218.69411322292,81.83251447290336
effective,Fixed-haar,D2,detail_2,301.0,150.5,1.118033988749895,1.3787600388782537,1.5415005857960142,4.0,4.25631731738644,2.0,4.0,15.355059091703467,41911.51615631237,54.63917390140512
effective,Fixed-haar,A2,approx_2,301.0,148.5,1.118033988749895,0.8238671146400623,0.9211114363808959,4.0,3.819420414236761,2.0,4.0,14.874160744740456,30030.91359961656,78.43127888681119
local,Fixed-db2,L1_h0,lowpass,101.0,48.850480947161664,0.5728219618694799,1.0332695250873465,0.5918794765004796,3.0,3.788740798479048,1.1658570271244026,2.243664600086411,15.407925776834375,43475.82478366372,87.13767923044222
local,Fixed-db2,L1_h1,highpass,101.0,51.14951905283833,0.5728219618694799,1.0332695250873467,0.5918794765004797,3.0,3.788740798479048,1.1658570271244026,2.243664600086411,15.407925776834375,43475.82478366372,87.13767923044222
local,Fixed-db2,L2_h0,lowpass,101.0,48.850480947161664,0.5728219618694799,1.0332695250873465,0.5918794765004796,3.0,3.788740798479048,1.1658570271244026,2.243664600086411,15.407925776834375,43475.82478366372,87.13767923044222
local,Fixed-db2,L2_h1,highpass,101.0,51.14951905283833,0.5728219618694799,1.0332695250873467,0.5918794765004797,3.0,3.788740798479048,1.1658570271244026,2.243664600086411,15.407925776834375,43475.82478366372,87.13767923044222
effective,Fixed-db2,D1,detail_1,101.0,51.14951905283833,0.5728219618694799,1.0332695250873467,0.5918794765004797,3.0,3.788740798479048,1.1658570271244026,2.243664600086411,15.407925776834375,43475.82478366372,87.13767923044222
effective,Fixed-db2,D2,detail_2,301.0,151.2713038752455,1.3574204698733732,1.3287303979006315,1.8036458410533094,6.0,3.97905028997611,1.854715883714495,3.6168051667406207,15.102917827528774,35190.97407494998,64.11251644699689
effective,Fixed-db2,A2,approx_2,301.0,146.4296580190778,1.2353882312986673,0.6080849880101389,0.7512210378171168,5.0,2.0064468705544187,2.164968570332323,4.484566613037206,14.528785279808718,23637.42532201142,86.300249300904
local,Fixed-db4,L1_h0,lowpass,101.0,51.538666093272354,0.7762218763322262,0.9730516866762863,0.7553040060001044,3.0,3.44666308278055,1.4477444968806858,2.727812527923231,15.291695842827693,40110.597670412906,90.94602963766322
local,Fixed-db4,L1_h1,highpass,101.0,48.461333906727646,0.7762218763322262,0.9730516866762863,0.7553040060001044,3.0,3.44666308278055,1.4477444968806858,2.727812527923231,15.291695842827693,40110.597670412906,90.9460296376632
local,Fixed-db4,L2_h0,lowpass,101.0,51.538666093272354,0.7762218763322262,0.9730516866762863,0.7553040060001044,3.0,3.44666308278055,1.4477444968806858,2.727812527923231,15.291695842827693,40110.597670412906,90.94602963766322
local,Fixed-db4,L2_h1,highpass,101.0,48.461333906727646,0.7762218763322262,0.9730516866762863,0.7553040060001044,3.0,3.44666308278055,1.4477444968806858,2.727812527923231,15.291695842827693,40110.597670412906,90.9460296376632
effective,Fixed-db4,D1,detail_1,101.0,48.461333906727646,0.7762218763322262,0.9730516866762863,0.7553040060001044,3.0,3.44666308278055,1.4477444968806858,2.727812527923231,15.291695842827693,40110.597670412906,90.9460296376632
effective,Fixed-db4,D2,detail_2,301.0,148.12241711867026,1.956249481440371,1.2810364477712126,2.5060268866586495,7.0,3.711274768690823,2.664177170797368,6.338656861140941,14.849337974582355,29518.626512082195,73.25978509389502
effective,Fixed-db4,A2,approx_2,301.0,154.9549150678745,1.6511051539775226,0.5025980395595472,0.8298422134957671,8.0,1.7307138239319746,2.556639230122156,5.88335556859193,14.317445396728491,20416.4639265893,90.85604582666245
local,Fixed-db8,L1_h0,lowpass,101.0,54.4178813742772,1.1756565395183491,0.9406838432138463,1.1059211118936119,5.0,3.2351654816508173,1.8178562438872419,3.5255693117884337,15.20698229048181,37823.160267604406,93.62211531291098
local,Fixed-db8,L1_h1,highpass,101.0,45.5821186257228,1.1756565395183491,0.9406838432138465,1.105921111893612,5.0,3.2351654816508173,1.8178562438872419,3.5255693117884337,15.20698229048181,37823.160267604406,93.62211531291098
local,Fixed-db8,L2_h0,lowpass,101.0,54.4178813742772,1.1756565395183491,0.9406838432138463,1.1059211118936119,5.0,3.2351654816508173,1.8178562438872419,3.5255693117884337,15.20698229048181,37823.160267604406,93.62211531291098
local,Fixed-db8,L2_h1,highpass,101.0,45.5821186257228,1.1756565395183491,0.9406838432138465,1.105921111893612,5.0,3.2351654816508173,1.8178562438872419,3.5255693117884337,15.20698229048181,37823.160267604406,93.62211531291098
effective,Fixed-db8,D1,detail_1,101.0,45.5821186257228,1.1756565395183491,0.9406838432138465,1.105921111893612,5.0,3.2351654816508173,1.8178562438872419,3.5255693117884337,15.20698229048181,37823.160267604406,93.62211531291098
effective,Fixed-db8,D2,detail_2,301.0,144.9071296810973,3.1233949583523626,1.2440853737513244,3.8857699841348015,12.0,3.463728619045778,3.167608588957778,8.9855610617443,14.619048572164644,25163.562642783443,80.88873369584316
effective,Fixed-db8,A2,approx_2,301.0,163.9286330674571,2.478804818419244,0.47119398190678735,1.1679979127606945,10.0,1.6176786146246516,2.9663929324387466,7.815796652306871,14.208880589762678,18936.48038425761,93.62136491958928
local,Fixed-sym4,L1_h0,lowpass,101.0,48.84643599689433,0.6521961470213651,0.9730516866768313,0.6346205609032699,3.0,3.44666308278055,1.345513405964392,2.541206132785957,15.291695842828528,40110.59767043612,90.94602963763867
local,Fixed-sym4,L1_h1,highpass,101.0,51.15356400310567,0.6521961470213651,0.9730516866768314,0.63462056090327,3.0,3.44666308278055,1.345513405964392,2.541206132785957,15.291695842828528,40110.59767043612,90.94602963763867
local,Fixed-sym4,L2_h0,lowpass,101.0,48.84643599689433,0.6521961470213651,0.9730516866768313,0.6346205609032699,3.0,3.44666308278055,1.345513405964392,2.541206132785957,15.291695842828528,40110.59767043612,90.94602963763867
local,Fixed-sym4,L2_h1,highpass,101.0,51.15356400310567,0.6521961470213651,0.9730516866768314,0.63462056090327,3.0,3.44666308278055,1.345513405964392,2.541206132785957,15.291695842828528,40110.59767043612,90.94602963763867
effective,Fixed-sym4,D1,detail_1,101.0,51.15356400310567,0.6521961470213651,0.9730516866768314,0.63462056090327,3.0,3.44666308278055,1.345513405964392,2.541206132785957,15.291695842828528,40110.59767043612,90.94602963763867
effective,Fixed-sym4,D2,detail_2,301.0,151.15049118644484,1.5748871060101626,1.2810364477713838,2.0174877839242136,6.0,3.711274768690823,2.145535722104701,4.424565300979427,14.849337974583703,29518.626512109782,73.25978509385523
effective,Fixed-sym4,A2,approx_2,301.0,146.54238080734376,1.3310961631667264,0.502598039560203,0.6690063220737048,6.0,1.7307138239319746,2.3511550744077683,5.102325983139141,14.317445396729958,20416.463926610064,90.85604582662891
local,Fixed-coif1,L1_h0,lowpass,101.0,49.96531857447232,0.5528283343950641,1.0295010967546634,0.5691373765767722,3.0,3.767936184043349,1.1830117354525036,2.2705026733844567,15.401671681980602,43287.76464171612,87.36964964569617
local,Fixed-coif1,L1_h1,highpass,101.0,50.03468142552767,0.5528283343950641,1.0295010967546634,0.5691373765767722,3.0,3.767936184043349,1.1830117354525038,2.270502673384457,15.401671681980602,43287.76464171612,87.36964964569617
local,Fixed-coif1,L2_h0,lowpass,101.0,49.96531857447232,0.5528283343950641,1.0295010967546634,0.5691373765767722,3.0,3.767936184043349,1.1830117354525036,2.2705026733844567,15.401671681980602,43287.76464171612,87.36964964569617
local,Fixed-coif1,L2_h1,highpass,101.0,50.03468142552767,0.5528283343950641,1.0295010967546634,0.5691373765767722,3.0,3.767936184043349,1.1830117354525038,2.270502673384457,15.401671681980602,43287.76464171612,87.36964964569617
effective,Fixed-coif1,D1,detail_1,101.0,50.03468142552767,0.5528283343950641,1.0295010967546634,0.5691373765767722,3.0,3.767936184043349,1.1830117354525038,2.270502673384457,15.401671681980602,43287.76464171612,87.36964964569617
effective,Fixed-coif1,D2,detail_2,301.0,150.02106952428213,1.3015163534309153,1.326045463099558,1.725869855616946,6.0,3.965627958082111,1.8522282867488946,3.6105741886095384,15.09020846870228,34882.32225236379,64.63384535165116
effective,Fixed-coif1,A2,approx_2,301.0,149.90956762466251,1.1671468095724888,0.601122654896661,0.7015983888243821,5.0,1.9848752657247768,2.1904264579026664,4.564403893164435,14.516478259219467,23436.64207019365,86.58588746457308
